City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,mount isa,-20.73,139.49,30.920000000000016,55,100,4.12,AU,1702592942
146,kolonia,50.9384,6.96,5.5400000000000205,87,75,1.03,DE,1702593160
147,puerto san carlos,-12.6608,-63.55,26.99000000000001,76,98,0.44,BO,1702593162
148,hwaseong-si,37.1995,126.8313,7.550000000000011,89,100,4.66,KR,1702592712
149,badger,42.6144,-94.1462,11.939999999999998,37,0,5.66,US,1702593164
150,suining,33.8964,117.9453,1.6000000000000227,80,100,4.65,CN,1702593166
151,taoudenni,22.6762,-3.9805,20.29000000000002,19,0,4.88,ML,1702593167
152,fada,9.5986,8.4422,18.32000000000005,32,29,2.18,NG,1702593168
153,codrington,51.5082,-2.3937,8.510000000000048,77,5,1.72,GB,1702593169
154,alta,44.4971,34.1587,11.950000000000045,81,100,1.47,UA,1702593171
155,totness,5.8771,-56.3308,26.439999999999998,86,58,5.2,SR,1702593172
156,parauapebas,-6.0697,-49.8903,25.879999999999995,94,100,0.0,BR,1702593173
157,takahama,34.9208,136.9886,11.610000000000014,93,75,2.06,JP,1702593176
158,hihifo,-19.8155,-174.3541,28.010000000000048,74,75,6.17,TO,1702593177
159,avarua,-21.2075,-159.7708,27.99000000000001,78,100,6.17,CK,1702593178
160,praia da vitoria,38.7392,-27.1563,14.400000000000034,77,40,7.05,PT,1702593178
161,runing,33.0103,114.3508,-2.8100000000000023,90,100,4.53,CN,1702593179
162,tolanaro,-25.0297,46.9904,25.879999999999995,83,20,9.77,MG,1702593180
163,suoyarvi,62.082,32.3459,-11.699999999999989,97,94,1.65,RU,1702593181
164,isabela,18.5008,-67.0243,26.939999999999998,77,40,6.17,US,1702593182
165,alice springs,-23.6984,133.8813,27.75,32,4,5.14,AU,1702593183
166,olonkinbyen,70.9224,-8.716,1.5100000000000477,84,99,11.69,NO,1702593185
167,sittwe,20.15,92.9,18.220000000000027,83,71,2.92,MM,1702593186
168,san patricio,27.9695,-97.7732,21.25,89,99,6.52,US,1702593187
169,dolinsk,47.3241,142.7979,-11.909999999999968,86,95,2.2,RU,1702593188
170,andergrove,-21.0932,149.1856,27.010000000000048,66,100,3.66,AU,1702593189
171,ubinskoye,55.3067,79.6794,-26.519999999999982,89,53,3.2,RU,1702593192
172,walvis bay,-22.9543,14.5075,16.160000000000025,77,69,1.54,NA,1702593193
173,valparaiso,-33.0458,-71.6197,21.02000000000004,62,0,4.63,CL,1702593080
174,goure,13.9862,10.2646,17.07000000000005,28,8,4.08,NE,1702593195
175,mejit,10.2843,170.8699,27.420000000000016,79,17,9.87,MH,1702593196
